Month,Sector,StockClass,Age,Sex,SRW_kg,LW_kg,LWG_kg,Velvet_Yield_kg,Wool_Yield_kg,Days_Pregnant,Trimester_Factor,Reproduction_Rate,FWG_kg,Days_Newborn_Fed_Milk,Milk_Mother_kg,Milk_Newborn_kg,MilkPowder_Newborn_kg,Milk_Fat_pct,Milk_Protein_pct,MilkPowder_Protein_pct,ME_Diet_AIM,DMD_pct_Diet_AIM,N_pct_Diet_AIM
1,Beef,Bulls Mature,4,Male,770,600,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
1,Beef,Heifers R1,0.5,Female,550,85.68365923227259,11.40332421898816,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259
1,Beef,Heifers R2,1.5,Female,550,224.42410389662857,11.403324218988189,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
1,Beef,Heifers R3,2.5,Female,550,363.16454856098454,11.403324218988132,NA,NA,34,NA,0.85,4.693721176787218,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.6,0.669469388,0.0259
1,Beef,Cows Mature,4,Female,550,449.449701817995,0,NA,NA,34,NA,0.85,4.693721176787218,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.6,0.669469388,0.0259
1,Beef,Bulls R1,0.5,Male,770,123.17133705852304,19.72093282606474,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259
1,Beef,Bulls R2,1.5,Male,770,363.1093531089776,19.720932826064768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
1,Beef,Bulls R3,2.5,Male,770,603.0473691594322,19.720932826064654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
1,Beef,Steers R1,0.5,Castrate,660,126.69000349347509,20.607991591178717,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259
1,Beef,Steers R2,1.5,Castrate,660,377.42056785281613,20.60799159117869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
1,Beef,Steers R3,2.5,Castrate,660,621.625268208284,7.556263583432155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259
2,Beef,Bulls Mature,4,Male,770,600,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002
